node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_1473,7,0.01,0.0007,0.1008,0.0006
G_1474,4,0.0127,0.0004,0.0765,0.0007
G_1475,13,0.0107,0.0029,0.0999,0.0006
G_1476,2,0.01,0.0012,0.0987,0.0006
G_1477,7,0.0113,0.0047,0.1214,0.0007
G_1478,13,0.01,0.0016,0.1001,0.0006
G_1479,7,0.0113,0.0047,0.1214,0.0007
G_148,10,0.01,0.0089,0.1045,0.0006
G_1480,12,0.0113,0.0012,0.1062,0.0007
G_1481,6,0.01,0.0023,0.1051,0.0006
G_1482,6,0.0127,0.0017,0.102,0.0007
G_1483,12,0.0127,0.001,0.1037,0.0007
G_1484,6,0.0107,0.0014,0.1169,0.0006
G_1485,4,0.0107,0.0026,0.0839,0.0006
G_1486,3,0.0127,0.0017,0.107,0.0007
G_1487,5,0.012,0.003,0.0975,0.0007
G_1488,3,0.0133,0.0072,0.0969,0.0007
G_1489,4,0.012,0.0023,0.085,0.0007
G_149,0,0.0113,0.0025,0.0892,0.0006
G_1490,3,0.0133,0.0016,0.1012,0.0007
G_1491,11,0.0113,0.001,0.0953,0.0006
G_1492,2,0.0107,0.0306,0.0977,0.0006
G_1493,3,0.012,0.0042,0.0959,0.0007
G_1494,10,0.01,0.0186,0.1252,0.0006
G_1495,2,0.0107,0.0108,0.1019,0.0006
G_1496,13,0.012,0.0036,0.1062,0.0007
G_1497,9,0.0107,0.0005,0.085,0.0006
G_1498,5,0.01,0.0011,0.0979,0.0006
G_1499,7,0.0133,0.004,0.1188,0.0008
G_15,1,0.0127,0.0061,0.1245,0.0007
G_150,0,0.0107,0.0015,0.0905,0.0006
G_151,1,0.012,0.0031,0.1148,0.0007
G_152,1,0.0107,0.0314,0.1243,0.0006
G_153,11,0.0107,0.0138,0.109,0.0006
G_154,10,0.0113,0.0141,0.097,0.0007
G_155,11,0.01,0.1382,0.1205,0.0006
G_156,10,0.0133,0.0035,0.0964,0.0008
G_157,10,0.014,0.0023,0.1113,0.0008
G_158,10,0.0127,0.0006,0.0992,0.0007
G_159,10,0.012,0.0019,0.1154,0.0007
G_16,10,0.0107,0.0005,0.1075,0.0006
G_160,1,0.012,0.0024,0.1198,0.0007
G_161,10,0.01,0.0003,0.1071,0.0006
G_162,10,0.0127,0.0079,0.1062,0.0007
G_163,1,0.0133,0.0566,0.1299,0.0007
G_164,10,0.0127,0.0036,0.1111,0.0007
G_165,4,0.0127,0.001,0.0701,0.0007
G_166,0,0.0107,0.0006,0.0919,0.0006
G_167,1,0.012,0.0025,0.1179,0.0007
G_168,0,0.0107,0.0011,0.0924,0.0006
G_169,4,0.014,0.0017,0.0776,0.0008
G_17,1,0.01,0.0027,0.1253,0.0006
G_170,10,0.0113,0.005,0.1139,0.0007
G_171,10,0.0107,0.002,0.1203,0.0006
G_172,4,0.012,0.001,0.0736,0.0007
G_173,10,0.01,0.0179,0.1114,0.0006
G_174,10,0.0133,0.0039,0.1129,0.0007
G_175,1,0.0127,0.0014,0.1192,0.0007
G_176,10,0.0107,0.0013,0.1174,0.0006
G_177,10,0.0127,0.0015,0.1122,0.0007
G_178,4,0.0113,0.0001,0.0698,0.0006
G_179,10,0.012,0.0002,0.094,0.0007
G_18,4,0.0173,0.001,0.0699,0.0009
G_180,10,0.0127,0.002,0.0998,0.0007
G_181,4,0.0133,0.002,0.076,0.0007
G_182,4,0.012,0.0019,0.0776,0.0007
G_183,10,0.014,0.0122,0.1094,0.0008
G_184,1,0.0113,0.0009,0.1226,0.0006
G_185,10,0.0127,0.0051,0.1063,0.0007
G_186,0,0.0153,0.0026,0.0872,0.0008
G_187,0,0.012,0.0022,0.0816,0.0007
G_188,10,0.01,0.0073,0.0951,0.0006
G_189,10,0.0127,0.0718,0.1069,0.0007
G_19,10,0.0113,0.005,0.1139,0.0007
G_190,10,0.0107,0.0021,0.0981,0.0006
G_191,1,0.0107,0.0018,0.1172,0.0006
G_192,1,0.0107,0.0218,0.1253,0.0006
G_193,4,0.01,0.0,0.0674,0.0006
G_194,0,0.014,0.0015,0.085,0.0007
G_195,10,0.012,0.0014,0.0943,0.0007
G_196,10,0.01,0.0266,0.1171,0.0006
G_197,1,0.0113,0.0138,0.1214,0.0006
G_198,0,0.0133,0.0003,0.0807,0.0007
G_199,0,0.0113,0.0081,0.0853,0.0006
G_2,1,0.0107,0.023,0.12,0.0006
G_20,10,0.0113,0.0016,0.1048,0.0006
G_200,0,0.0113,0.0027,0.0899,0.0006
G_201,4,0.012,0.0028,0.0755,0.0007
G_202,4,0.0113,0.0001,0.0756,0.0006
