node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
S_1444,7,0.0167,0.0005,0.0567,0.0007
S_1445,7,0.016,0.0007,0.0586,0.0007
S_1446,8,0.0187,0.003,0.0528,0.0007
S_1447,9,0.014,0.0026,0.0363,0.0006
S_1448,10,0.018,0.001,0.0636,0.0007
S_1449,8,0.02,0.001,0.0487,0.0008
S_145,6,0.0193,0.0002,0.0442,0.0007
S_1450,11,0.016,0.0054,0.0344,0.0007
S_1451,10,0.0153,0.0006,0.0646,0.0006
S_1452,4,0.0147,0.0347,0.0699,0.0006
S_1453,9,0.014,0.0,0.033,0.0006
S_1454,8,0.0187,0.0006,0.0537,0.0007
S_1455,8,0.0147,0.003,0.0512,0.0006
S_1456,5,0.014,0.0965,0.0714,0.0006
S_1457,5,0.016,0.0006,0.0657,0.0006
S_1458,9,0.0193,0.0007,0.0346,0.0007
S_1459,4,0.02,0.003,0.0592,0.0008
S_146,12,0.0207,0.0006,0.0357,0.0008
S_1460,10,0.014,0.0412,0.0711,0.0006
S_1461,5,0.0153,0.0031,0.0704,0.0006
S_1462,8,0.0147,0.0022,0.0539,0.0006
S_1463,10,0.0227,0.0015,0.0681,0.0008
S_1464,4,0.0147,0.0258,0.0696,0.0006
S_1465,3,0.016,0.001,0.0473,0.0006
S_1466,7,0.014,0.0008,0.0652,0.0006
S_1467,3,0.0193,0.0012,0.0566,0.0008
S_1468,9,0.0193,0.0007,0.0346,0.0007
S_1469,4,0.014,0.017,0.0572,0.0006
S_147,12,0.014,0.0002,0.0286,0.0006
S_1470,3,0.016,0.001,0.0473,0.0006
