node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
R_1373,1,0.018,0.0018,0.0481,0.0007
R_1374,5,0.016,0.0009,0.0588,0.0007
R_1375,0,0.018,0.0007,0.0575,0.0007
R_1376,4,0.014,0.0,0.0371,0.0006
R_1377,7,0.0147,0.2787,0.068,0.0006
R_1378,3,0.018,0.0002,0.05,0.0007
R_1379,10,0.016,0.0049,0.0476,0.0006
R_138,3,0.0193,0.0002,0.05,0.0008
R_1380,7,0.018,0.0244,0.0684,0.0007
R_1381,2,0.014,0.0027,0.0609,0.0006
R_1382,0,0.0153,0.0012,0.0633,0.0006
R_1383,1,0.0147,0.0045,0.045,0.0006
R_1384,7,0.018,0.0066,0.0699,0.0007
R_1385,4,0.018,0.0,0.0371,0.0007
R_1386,9,0.018,0.0007,0.0716,0.0007
R_1387,6,0.0153,0.0026,0.0737,0.0006
R_1388,7,0.016,0.0002,0.069,0.0006
R_1389,6,0.0167,0.0009,0.0702,0.0007
R_139,0,0.0153,0.0469,0.0619,0.0006
R_1390,4,0.0167,0.0002,0.0402,0.0007
R_1391,10,0.014,0.0068,0.0516,0.0006
R_1392,1,0.0193,0.0005,0.0448,0.0007
R_1393,0,0.016,0.0011,0.0631,0.0006
R_1394,0,0.0193,0.0006,0.0613,0.0007
R_1395,6,0.0167,0.005,0.0765,0.0007
R_1396,9,0.014,0.0018,0.0725,0.0006
R_1397,1,0.018,0.0002,0.0447,0.0007
R_1398,3,0.0167,0.0145,0.0503,0.0007
R_1399,0,0.014,0.0981,0.0616,0.0006
R_14,0,0.0153,0.0004,0.0558,0.0006
R_140,4,0.02,0.0024,0.0414,0.0008
R_1400,0,0.018,0.0051,0.0577,0.0007
R_1401,3,0.0173,0.0003,0.0482,0.0007
R_1402,2,0.0147,0.2831,0.0701,0.0006
R_1403,10,0.0153,0.0026,0.0436,0.0006
R_1404,0,0.0167,0.0119,0.0558,0.0007
R_1405,10,0.0167,0.0046,0.0455,0.0007
R_1406,3,0.0153,0.0004,0.0499,0.0006
R_1407,0,0.0153,0.0001,0.059,0.0006
R_1408,5,0.016,0.0011,0.0589,0.0007
R_1409,4,0.018,0.0087,0.0403,0.0007
R_141,3,0.0193,0.0016,0.0501,0.0008
R_1410,10,0.0187,0.0012,0.0519,0.0007
R_1411,1,0.0187,0.0002,0.045,0.0007
R_1412,3,0.016,0.0005,0.0466,0.0006
R_1413,8,0.018,0.0008,0.0751,0.0007
R_1414,6,0.016,0.0008,0.0687,0.0006
R_1415,0,0.0147,0.0018,0.0557,0.0006
R_1416,6,0.014,0.0004,0.0724,0.0006
R_1417,7,0.0187,0.0009,0.0705,0.0007
R_1418,11,0.0167,0.0005,0.0624,0.0007
R_1419,3,0.014,0.0017,0.0501,0.0006
R_142,9,0.0173,0.0002,0.0748,0.0007
R_1420,8,0.0167,0.0015,0.0783,0.0007
R_1421,1,0.018,0.0009,0.0481,0.0007
R_1422,5,0.016,0.0004,0.0562,0.0006
R_1423,0,0.014,0.0107,0.0558,0.0006
R_1424,10,0.016,0.0002,0.0477,0.0006
R_1425,4,0.0147,0.0018,0.0414,0.0006
R_1426,3,0.0153,0.0008,0.0502,0.0006
R_1427,5,0.016,0.0041,0.0564,0.0006
R_1428,6,0.018,0.0019,0.0738,0.0007
R_1429,11,0.018,0.0016,0.0678,0.0007
R_143,3,0.016,0.01,0.052,0.0006
R_1430,3,0.014,0.0021,0.0519,0.0006
R_1431,7,0.0147,0.0174,0.0633,0.0006
R_1432,0,0.014,0.0005,0.059,0.0006
R_1433,4,0.016,0.0038,0.0388,0.0006
R_1434,10,0.0147,0.0009,0.052,0.0006
R_1435,9,0.02,0.0021,0.073,0.0007
R_1436,3,0.0193,0.0007,0.0502,0.0008
R_1437,0,0.0153,0.0341,0.0558,0.0006
R_1438,3,0.0147,0.0017,0.0501,0.0006
R_1439,1,0.0153,0.0003,0.0449,0.0006
R_144,2,0.0153,0.0023,0.0609,0.0006
R_1440,6,0.0193,0.0017,0.0684,0.0008
R_1441,4,0.022,0.0002,0.0402,0.0008
R_1442,7,0.0153,0.0142,0.065,0.0006
R_1443,3,0.014,0.0669,0.052,0.0006
R_1444,8,0.014,0.3252,0.0813,0.0006
R_1445,3,0.0167,0.001,0.0536,0.0007
R_1446,10,0.0173,0.0001,0.0418,0.0007
R_1447,3,0.0153,0.0013,0.0484,0.0006
R_1448,0,0.0173,0.0013,0.0538,0.0007
R_1449,1,0.018,0.0199,0.0465,0.0007
